Nome do Candidato,Partido,Municipio,Situacao,Moeda Social,Palavras chaves Amplas
LEONEL POLICIANO PRIMO,Democracia Crista - DC,Prefeito - Resende/ RJ,Nao eleito,moeda social,
RENAN MARASSI MAGALHAES,Republicanos - REPUBLICANOS,Prefeito - Resende/ RJ,Nao eleito,moeda social,
VALDO DUARTE GOMES,Partido Dos Trabalhadores - PT,Prefeito - Resende/ RJ,Nao eleito,moeda social,"economia solidaria, transferencias de renda"
LEANDRO PEREIRA NETTO,Solidariedade - SOLIDARIEDADE,Prefeito - Rio Bonito/ RJ,Nao eleito,moeda social,
UILTON AFONSO VIANA FILHO,Partido Liberal - PL,Prefeito - Rio Bonito/ RJ,Nao eleito,moeda social,"economia solidaria, transferencia de renda, distribuicao de renda"
CARLOS AUGUSTO CARVALHO BALTHAZAR,Partido Liberal - PL,Prefeito - Rio Das Ostras/ RJ,ELEITO,,transferencia de renda
KATIA MARIA DINIZ MACILLO,Partido Dos Trabalhadores - PT,Prefeito - Rio Das Ostras/ RJ,Nao eleito,moeda social,
MAURICIO BRAGA MESQUITA,Uniao Brasil - UNIAO,Prefeito - Rio Das Ostras/ RJ,Nao eleito,,transferencia de renda
EDUARDO DA COSTA PAES,Partido Social Democratico - PSD,Prefeito - Rio De Janeiro/ RJ,ELEITO,,transferencia de renda
MARCELO CID HERACLITO DO PORTO QUEIROZ,Progressistas - PP,Prefeito - Rio De Janeiro/ RJ,Nao eleito,,transferencia de renda
TARCISIO MOTTA DE CARVALHO,Partido Socialismo E Liberdade - PSOL,Prefeito - Rio De Janeiro/ RJ,Nao eleito,"moedas sociais, bancos populares","renda complementar, renda basica, economia solidaria, transferencia de renda"
NILSON JOSE PERDOMO COSTA,Solidariedade - SOLIDARIEDADE,Prefeito - Santa Maria Madalena/ RJ,ELEITO,,transferencia de renda
JAIRO OLIVEIRA AQUINO,Solidariedade - SOLIDARIEDADE,Prefeito - Sao Fidelis/ RJ,Nao eleito,moeda social,
PEDRO JORGE CHERENE JUNIOR,Uniao Brasil - UNIAO,Prefeito - Sao Francisco De Itabapoana/ RJ,Nao eleito,,"economia solidaria, transferencia de renda"
DIMAS DE PAIVA GADELHA JUNIOR,Partido Dos Trabalhadores - PT,Prefeito - Sao Goncalo/ RJ,Nao eleito,moeda social,"renda basica, economia solidaria, transferencia de renda"
JOSEMAR PINHEIRO DE CARVALHO,Partido Socialismo E Liberdade - PSOL,Prefeito - Sao Goncalo/ RJ,Nao eleito,"moedas sociais, bancos populares","renda basica, economia solidaria"
REGINALDO DA SILVA AFONSO,Partido Socialista Dos Trabalhadores Unificado - PSTU,Prefeito - Sao Goncalo/ RJ,Nao eleito,,renda basica
KARLA CHAGAS MAIA,Uniao Brasil - UNIAO,Prefeito - Sao Joao Da Barra/ RJ,ELEITO,,transferencia de renda
JULIANA DA SILVA DRUMOND,Partido Socialismo E Liberdade - PSOL,Prefeito - Sao Joao De Meriti/ RJ,Nao eleito,moedas sociais,"economia solidaria, distribuicao de renda"
LUIZ MARCOS DE OLIVEIRA MUILER,Partido Da Mulher Brasileira - PMB,Prefeito - Sao Joao De Meriti/ RJ,Nao eleito,,transferencia de renda
VALDECIR DIAS DA SILVA,Partido Liberal - PL,Prefeito - Sao Joao De Meriti/ RJ,Nao eleito,,economia solidaria
GEAN MARCOS PEREIRA DA SILVA,Movimento Democratico Brasileiro - MDB,Prefeito - Sao Jose De Uba/ RJ,ELEITO,,"economia solidaria, transferencia de renda"
JOSE ADILSON GONCALVES PRIORI,Avante - AVANTE,Prefeito - Sao Jose Do Vale Do Rio Preto/ RJ,Nao eleito,,transferencia de renda
MARCELO ANTONIO PINTO DOS SANTOS,Partido Renovacao Democratica - PRD,Prefeito - Sao Pedro Da Aldeia/ RJ,Nao eleito,,renda minima
LUCIMAR PEREIRA VIDAL DA COSTA,Partido Liberal - PL,Prefeito - Saquarema/ RJ,ELEITO,moeda social,
PAULO CESAR MELO DE SA,Movimento Democratico Brasileiro - MDB,Prefeito - Saquarema/ RJ,Nao eleito,moeda social,
ROMULO CARVALHO DE ALMEIDA,Partido Novo - NOVO,Prefeito - Saquarema/ RJ,Nao eleito,"moeda social, moedas sociais",
ANDRE LUIZ FERREIRA DE LACERDA,Partido Liberal - PL,Prefeito - Silva Jardim/ RJ,Nao eleito,,economia solidaria
LUIZ EVANDRO MACEDO DE BARROS JUNIOR,Solidariedade - SOLIDARIEDADE,Prefeito - Silva Jardim/ RJ,Nao eleito,moeda social,
MAIRA BRANCO MONTEIRO,Movimento Democratico Brasileiro - MDB,Prefeito - Silva Jardim/ RJ,Nao eleito,moeda social,
ANALU ARAUJO DIAS,Progressistas - PP,Prefeito - Sumidouro/ RJ,Nao eleito,moeda local,
MONICA DA SILVA BICUDO,Rede Sustentabilidade - REDE,Prefeito - Tangua/ RJ,Nao eleito,,transferencia de renda
VALBER LUIZ MARCELO DE CARVALHO,Progressistas - PP,Prefeito - Tangua/ RJ,Nao eleito,,transferencia de renda
ALEXSANDRO DA SILVA COSTA,Partido Liberal - PL,Prefeito - Teresopolis/ RJ,Nao eleito,,economia solidaria
RILDO GONCALVES NEVES,Partido Liberal - PL,Prefeito - Trajano De Moraes/ RJ,ELEITO,,"economia solidaria, transferencia de renda, complementacao de renda, distribuir renda"
JOACIR BARBAGLIO PEREIRA,Republicanos - REPUBLICANOS,Prefeito - Tres Rios/ RJ,Nao eleito,moeda social,
FRANCISCO DE PAULA DOS REIS LIMA,Partido Socialismo E Liberdade - PSOL,Prefeito - Valenca/ RJ,Nao eleito,"moedas sociais, bancos populares","renda minima, economia solidaria, distribuicao de renda"
FRANCISCO CARLOS TEIXEIRA BRANDO,Solidariedade - SOLIDARIEDADE,Prefeito - Vassouras/ RJ,Nao eleito,moeda local,
JOSE ARIMATHEA OLIVEIRA,Partido Socialista Brasileiro - PSB,Prefeito - Volta Redonda/ RJ,Nao eleito,,economia solidaria
